v8-version,6,2,414,54,0
code-creation,Stub,3,4508,0xe240ac38b00,411,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4509,0xe240ac38d00,2099,"RecordWriteStub"
code-creation,Stub,3,4510,0xe240ac395a0,2160,"RecordWriteStub"
code-creation,Stub,3,4511,0xe240ac39e80,2088,"RecordWriteStub"
code-creation,Stub,3,4511,0xe240ac3a720,89,"DoubleToIStub"
code-creation,Stub,3,4512,0xe240ac3a7e0,2118,"RecordWriteStub"
code-creation,Stub,3,4513,0xe240ac3b0a0,2104,"RecordWriteStub"
code-creation,Handler,4,4514,0xe240ac3b940,132,"An IC handler from the snapshot"
code-creation,Stub,3,4515,0xe240ac3ba40,87,"DoubleToIStub"
code-creation,Stub,3,4515,0xe240ac3bb00,327,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4516,0xe240ac3bcc0,2100,"RecordWriteStub"
code-creation,Handler,4,4517,0xe240ac3c560,612,"An IC handler from the snapshot"
code-creation,Stub,3,4518,0xe240ac3c840,319,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4519,0xe240ac3c9e0,2118,"RecordWriteStub"
code-creation,Stub,3,4519,0xe240ac3d2a0,2091,"RecordWriteStub"
code-creation,Stub,3,4520,0xe240ac3db40,2087,"RecordWriteStub"
code-creation,Stub,3,4521,0xe240ac3e3e0,2145,"RecordWriteStub"
code-creation,Stub,3,4522,0xe240ac3ecc0,563,"TransitionElementsKindStub"
code-creation,Stub,3,4522,0xe240ac3ef60,884,"RecordWriteStub"
code-creation,Stub,3,4523,0xe240ac3f340,2088,"RecordWriteStub"
code-creation,Stub,3,4527,0xe240ac3fbe0,2087,"RecordWriteStub"
code-creation,Stub,3,4528,0xe240ac40480,2088,"RecordWriteStub"
code-creation,Stub,3,4528,0xe240ac40d20,308,"CEntryStub"
code-creation,Stub,3,4529,0xe240ac40ec0,2130,"RecordWriteStub"
code-creation,Stub,3,4530,0xe240ac41780,2130,"RecordWriteStub"
code-creation,Stub,3,4531,0xe240ac42040,2148,"RecordWriteStub"
code-creation,Stub,3,4531,0xe240ac42920,2118,"RecordWriteStub"
code-creation,Stub,3,4532,0xe240ac431e0,2075,"RecordWriteStub"
code-creation,Stub,3,4533,0xe240ac43a60,1246,"RecordWriteStub"
code-creation,Handler,4,4534,0xe240ac43fa0,600,"An IC handler from the snapshot"
code-creation,Stub,3,4534,0xe240ac44260,2126,"RecordWriteStub"
code-creation,Stub,3,4535,0xe240ac44b20,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4536,0xe240ac44c60,2063,"RecordWriteStub"
code-creation,Stub,3,4537,0xe240ac454e0,2100,"RecordWriteStub"
code-creation,Stub,3,4538,0xe240ac45d80,2103,"RecordWriteStub"
code-creation,Handler,4,4538,0xe240ac46620,552,"An IC handler from the snapshot"
code-creation,Stub,3,4539,0xe240ac468c0,896,"RecordWriteStub"
code-creation,Stub,3,4540,0xe240ac46ca0,2100,"RecordWriteStub"
